text, gender, followers, location, friends, comments, source, likes, reposts, label
#江门寻找一金毛狗失主#12月24日平安夜晚10点金华大厦聚宝堂珠宝店门口发现一金毛狗，由于本人对狗不太熟悉，狗狗睇上毛色光滑齐整平顺，手脚同头都较大，具体请看图平安夜外面天寒地冻，狗狗睇离好累好可怜。狗狗主人现在应该好担心了。求各种扩散，请知情嘅朋友告知狗狗主人或私信我，祝各位圣诞快乐,m,331,广东 江门,456,14,iPhone客户端,0,47,1
http://sinaurl.cn/hqANgI  啊~~~啊~我捶大腿啊捶大腿 拍桌子啊拍桌子  太给力——100名网友在龚琳娜大神的带领下齐唱忐忑。。。。[给力],m,24333,北京 朝阳区,767,144,微博 weibo.com,0,509,1
临睡前玩了一把三国无双6，魏传-潼关之战，剧情要求用贾诩。我一路打到潼关之下，插了段动画，贾诩仰望城头感慨：“不愧是西凉锦马超啊。”然后马超身着金甲金盔极其华丽地跳到贾诩面前，冷冷说了一句：“听说你是曹操的军师？咱们来单挑吧。”——我说你能有点出息吗！？,m,3322482,北京 朝阳区,836,355,微博 weibo.com,1,582,1
演唱结束，麻衣接受了主持人吴大维的采访，九连拍的麻衣仍旧是那么可爱[鼓掌],f,14906,海外 日本,145,23,微博 weibo.com,0,91,1
为人要心底坦荡，不为虚名所累；做事要头脑清醒，不为假象所惑。智者，以别人惨痛的教训警示自己；愚者，用自己沉重的代价唤醒别人。对人多一份宽容，多一份爱心；对事多一份认真，多一份责任；对己多一点要求，多一点警醒。傲不可长，志不可满，乐不可极，警钟长鸣！,m,1008877,北京 朝阳区,1831,47,iPad客户端,0,320,1
【德国90头奶牛放屁引发爆炸崩塌牛棚】这是一起严肃的安全事故，法新社28日援引德国警方消息，消防员和警方第一时间迅速赶往事发地点，发现牛棚棚顶被部分震坏，一头悲催的奶牛轻微烧伤。警方分析：奶牛放屁与排便气体太浓，遇上静电引发悲剧。详情：http://t.cn/8FMYw2S 放屁需谨慎啊喂！(新浪),m,9490081,江苏 南京,1434,166,微博 weibo.com,78,542,1
#星娱星乐#其实，有时候腿长腿短，只是拍照后给人的感官错觉而已。#晒长腿大赛#,m,8247798,北京,44,143,专业版微博,29,225,1
一个人能走多远，要看他志有多坚；一个人有多优秀，要看他与谁同流；一个人有多成功，要看他能负多重；一个人有多富有，要看他仁心多厚；一个人能有多高，要看他身站何处。@侯宁 @王利芬 @严旭青啤 @彭曙光V,m,39594,上海 闵行区,2480,28,Android客户端,0,170,1
准亲们，千万不要忘记：【2012.05.20】《韩娱星动态》将带来李准基退伍当天珍贵影像及粉丝见面会；本周日22:00生活时尚频道播出的《韩娱星动态》http://t.cn/h6ilhL，看不到上海此电视台的，请自行收藏在线收看网址！就是今天哦！#李准基5201314#,f,190,湖南 益阳,108,50,微博 weibo.com,0,90,1
【胡杏儿男友疑曝光 机场挽手同游韩国】今日中午，胡杏儿在微博上传与一位男士紧紧拥抱的照片，并写道：“我找到了！”疑似公开恋情。随后，有网友微博曝光胡杏儿的“新男友”疑是李思捷，并拍到两人挽着胳膊现身机场。而早前还有网友拍到两人与胡定欣等人一同游韩国。详细：http://t.cn/8FemSH0,f,18962389,北京 海淀区,2524,652,微博 weibo.com,877,329,1
总投资10亿元LED灯具生产项目落户玉山：总投资10亿元LED灯具生产项目落户玉山 来源：玉山之窗 本报讯（记者 周建峰）6月24日，总投资10亿元兴建年产8000万套LED灯及灯具项目举行签约仪式。县领...文字版>> http://t.cn/8FUGAZS （新浪长微博>> http://t.cn/zOXAaic）,f,97,广东 广州,473,444,新浪博客,2,281,1
【印度因天气原因推迟至明日试射烈火-5远程导弹】路透社报道，印度官员称，由于试射区闪电密集，出于安全考虑，烈火-5的试射已被推迟至明天进行。报道称，烈火-5可携带核弹头，射程达5000公里，可覆盖中国和欧洲的纵深地区。印度媒体声称，发射烈火-5将使印度加入洲际核导弹俱乐部。,m,16308082,北京 东城区,626,138,微博 weibo.com,0,621,1
【芒果聚光灯 • 天声一队】@天声一队 第四场直播进行时！本周爱心来宾@张杰 登场，一首高亢励志的歌曲「火鸟」瞬间引爆全场热情，与舞蹈演员的一段共舞也很精彩哦！,m,7817697,湖南 长沙,499,173,iPhone客户端,0,251,1
【工信部否认强制叫停抢票插件】据新华社报道，工信部回应，考虑到抢票插件可能给铁道部售票系统带来较大压力，电信管理局市场管理处于18日晚与三家互联网企业电话沟通，要求企业关注网络情况，采取措施，避免影响售票系统正常运行。“强制叫停于法无据，电话建议不是强制性的。”http://t.cn/zYP4Wg4,f,50909416,北京 海淀区,660,280,微博 weibo.com,42,643,1
韩寒把我拉黑了，气度还是小了点，[嘻嘻]不能评论和转发。我有那么可怕吗？以下是看了韩文《太平洋的风》的评论：韩寒要是早几天去台湾，是不是就不会那么快意恩仇地奚落麦田和方舟子了？一个社会普通人的和善，公众人物多少有几分责任，大家有样学样，有风学风。,m,675223,北京 海淀区,1102,621,微博 weibo.com,0,513,1
【韩国仁川市长要求朴泰桓2014亚运会战胜孙杨】为宣传2014年亚运会举办城市-韩国仁川，仁川市市长宋永吉26-30日前往伦敦考察。他今天在市政府接受采访时称，对伦敦奥运会主体育场感到失望。他还透露，“到仁川亚运会时，朴泰桓一定要战胜孙杨雪耻，并已将此任务传达给韩国体协。”http://t.cn/zWCe5Na,m,16308082,北京 东城区,626,424,媒体版微博,11,697,1
请问阁下看过多少庆祝周年的广告？这支3M便利贴Post-it30周年广告非常与众不同，便利贴被赋予灵魂，万里迢迢寻找它的Father！ static.ak. http://t.cn/hrrjge,f,4928314,北京 东城区,486,179,土豆,0,883,1
“从前在一起的时候老梦到你不爱我和别人在一起了，现在分开这么久却整夜整夜梦见你在我身边。”,m,636396,海外 阿根廷,1,353,iPhone客户端,961,327,1
【《新世纪诗典（第一季）》出版时被删作品】西娃《画面》中山公园里，一张旧晨报被缓缓展开，阳光下独裁者，和平日，皮条客，监狱，乞丐，公务员，破折号，情侣星空，灾区，和尚，播音员安宁地(详见长微博) ...  http://t.cn/zluZa9j  （分享自 @长微博工具）@mark,m,44631,陕西 西安,755,64,分享按钮,0,192,1
琴声在稳重矜持的旋律下缓缓歌唱，为了蓝天，为了清风，为了午后的阳光和森林，为了微风轻送的隐隐钟声和钟声中流传已久的幸福，这就是【卡农】。。。。.  http://t.cn/hq0Hrs,m,231743,海外 其他,33,61,优酷土豆,2,230,1
Alexander McQueen Resort 2012 Collections..........,m,4351061,海外 其他,304,51,微博 weibo.com,1,408,1
吾日三省吾身：高吗？富吗？帅吗？ 然后就能静下心来好好做事了 。。。,f,6751179,北京 东城区,498,124,皮皮时光机,446,616,1
年仅13歲的男模！！,f,561716,广东,136,387,定时showone,0,946,1
#星娱星乐#如果这辈子，我能遇上这样外柔内刚又为爱拼命的女汉子，我发誓非她不娶！[心][中箭][心],m,6488729,北京 朝阳区,46,182,专业版微博,6,368,1
【许多伤员快不行了，莫再添堵】@成都日报 荥经到芦山的双向两道，也是唯一通道，数百辆就救护车堵路上，短短30公里的路，走了8个小时，许多伤员快不行了……私家车救援请不要前往。市政府副秘书长蔡竞表示，不提倡个人自行前往灾区救援救治，希望大家理解支持。//守望也是力量，救灾不一定要到现场！,m,24558545,北京,380,98,小米手机2,13,990,1
【取鱼刺起争执 男子追打女医生】2月28日凌晨，温州市人民医院急诊科，一满身酒气的男子用病历和就诊卡丢女医生，试图踹她被拦住，致女医生眼角挫伤。男子当时称喉咙被鱼刺卡住，医生检查后未发现鱼刺，让他等天亮做电子喉镜检查，男子不认同发生争执。温州都市报http://t.cn/8FBCmtC http://t.cn/8FBnYQw,m,9615706,广东 广州,455,358,微博 weibo.com,51,232,1
人要任性，任性，任性。如今，已太少人任性了。不任性的人，怎么能维持健康的精神状态？他随时都在妥协、随时在抑制自己，其不快或隐忍究竟能支撑多久？ 自己要做得了主。——舒国治 。嗯，祝各位好梦。 http://t.cn/zW0AZYy,m,440104,北京,260,41,点点网,0,249,1
好多人说巨蟹分手的很无情，但有谁知道，当巨蟹断绝来往的时候，已经准备了多长时间，你给他们的伤害太多了。巨蟹也是人，不是冷血动物，如果巨蟹主动跟你分手，爱着巨蟹的人应该好好想想，你把巨蟹伤的有多深。其实巨蟹很包容，甚至爱你的时候连自己的性格都愿意为对方改变，这只有爱过的巨蟹的才知道,f,130394,北京 东城区,865,79,皮皮时光机,1,481,1
【国内电商呼吁各网站“下架”日系产品】国内电商近日呼吁各大电商网站暂时“下架”日系产品。中国电商行业俨然率先酝酿着一场民间的对日经济制裁。8月份以来，日系品牌家电销售额整体大跌。北上广销售数据显示，东芝降低40.31%；三洋下降44.32%；松下降低23.41%；夏普下降21.06%http://t.cn/zlPWDJC,m,11644633,北京,1678,389,媒体版微博,5,493,1
#exo组合吧中国爱大歌会独家#拍摄：柒柒 这张图秒杀众粉~ @张艺兴吧_XingPark中文首站 @张艺兴中文网 送礼物啦~[笑哈哈],f,166384,海外 韩国,181,16,微博 weibo.com,0,153,1
【#我是歌手#in乐视】@GEM邓紫棋 她像天堂里不甘寂寞的淘气精灵，跃入凡间化身百老汇红磨坊里婀娜多姿的性感尤物，流连歌舞升平。眼神流转间已俘获所有看客的心，她要用她的热情融化每一个寒冬的夜。她的甜美虽亲近却无法捕捉，她的气场强大却不伤人。风情万种，所向披靡！http://t.cn/8FBGpZI,m,7120541,北京,678,288,微博 weibo.com,698,622,1
[這不是個唱，請大家不要激動] 新城 EPS i DO LOVE MUSIC 音樂會 2013 預告 #小鬼黃鴻升# 日期 : 2013年8月9日 時間 : 7:30PM 地點 : 香港會議展覽中心 Hall 5BC 歌手：林峯 泳兒 黃鴻升 周柏豪 官恩娜 連詩雅 林俊傑 http://t.cn/zHdWn9V （預告來自新城知訊台）,f,5684,海外 其他,302,27,微博 weibo.com,21,217,1
送给女人：趁我们还年轻，多走几步路，多欣赏下沿途的风景，不要急于抵达目的地而错过了流年里温暖的人和物；趁我们还年轻，多说些浪漫的话语，多做些幼稚的事情，不要嫌人笑话错过了生命中最美好的片段和场合；趁我们还年轻，把距离缩短，把时间延长。趁我们都还年轻，多做些我们想要做的任何事 。,f,2231933,北京 东城区,607,74,小鸟定时,59,984,1
【娶腐女的理由】1.她们对男人生理和心理的了解丝毫不逊色于你;2.她们同时配备敏锐的洞察力，丰富的想像力以及海纳百川的包容心;3.她们的行动轨迹只限于电脑与厕所间，费电不费钱;4.她们不喜吃醋耍心计，如果你的劈腿对象是男人，她们会沿路洒花拱手相让.还考虑什么?如此珍稀物种，遇见就快娶了吧,f,545958,北京,153,87,时光机,0,373,1
【王力宏夫妇外出用餐 护妻心切反拍媒体】台媒报道，王力宏宣布婚讯后，与新婚妻子李靓蕾一直十分低调，鲜少一同亮相。昨日，某台湾媒体目击小两口外出就餐，护妻心切的王力宏看到被拍后，还伸手挡住镜头，用手机反拍媒体，并劝解道：“拍够没？可以收工了吧？”详情：http://t.cn/8kBfIRC,f,18962394,北京 海淀区,2524,1034,微博 weibo.com,1381,668,1
【你2过吗？】1、坐车下错站；2、上楼走错层；3、上学进错班；4、回家开错门；5、短信发错人；6、招呼打错人；7、熟人叫错名；8、洗澡不拿毛巾或内衣；9、买东西忘拿找钱、忘付钱、不拿东西就走人；10、走路撞树、撞门、撞电杆；11、东西在手却找个不停。,f,574245,海外,46,75,微博 weibo.com,0,460,1
@一一菌 ：我的偶像会模仿杰克·尼科尔森！像就不说了 最后一个表情笑尿 哈哈哈哈！,m,42640562,北京 东城区,245,60,微博 weibo.com,12,101,1
【谁懂我是水瓶座】1、不擅长表达感受；2、自尊心很强；3、慢热；4、重视内在多于外在，重视精神多于物质。5、不喜欢做决定，一旦下了决定几乎没有改变的可能；6、直觉很准；7、被别人误会的时候不爱解释；8、有颗不切实际单纯美好的心灵；9、自我调节能力很强；10、不会把上一份感情留在现在生活里。,f,417796,福建 厦门,78,28,皮皮时光机,0,150,1
好久以前的娛百!!羅祥回高中母校~很多人都沒看過吧?!show time 時期喔!好可愛![偷笑]有羅媽!還有殷雪梅老師!!2003年的娛百~到現在2012!!歲月阿~~~~http://t.cn/zlYhrFj,f,4301,台湾,1683,5,微博 weibo.com,0,79,1
性感女神，苏菲·玛索 （Sophie Marceau），湛蓝的眼睛，纯净的笑容，性感的身形，一种独特的气质和吸引力，近乎完美。 @视觉志,m,1663592,海外 美国,130,88,微博 weibo.com,0,585,1
有多少人小时候年少无知地认为，列宁是一个姓列名宁的中国人？#请告诉我不是一个人#,m,806,广东 广州,325,73,微博 weibo.com,0,745,1
#美丽说晚安#说1个你爱冬天的理由。晚安,f,5386385,北京,141,732,美丽说,18,747,1
【人体降火的方法】胃火炽盛则痘痘长、牙龈肿、口角烂；肝火炽盛则头痛头晕、睡眠不稳；心火上炎则口腔溃疡咽痛咽干、失眠；肺热火炽则咽喉干疼、口干而渴。只有合理饮食调养，才能达到降火除热的目的。转给身边经常上火的人！,m,234248,北京,453,46,孔明社交管理,2,426,1
如今我不再如醉如痴，也不再想将远方的美丽及自己的快乐和爱的人分享。我的心已不再是春天我的心已是夏天。我比当年更优雅，更内敛，更深刻，更洗练，也更心存感激。我孤独，但不为寂寞所苦，我别无所求。我乐于让阳光晒熟。我的眼光满足于所见事物，我学会了看，世界变美了。—— 黑塞,m,9938414,其他,1232,70,皮皮时光机,84,640,1
【毒贩逃命跳河溺水 民警冒死救起】11月29日，四川广安市邻水县公安局在追捕一贩毒嫌疑人时，走投无路的嫌疑人跳进御临河。在河中，贩毒嫌疑人体力不支。民警李果（下图）毫不犹豫跳进刺骨河中，将其救起并抓捕归案。李果说，无论他们犯了什么罪，他们的生命同样值得我们尊重。（华西都市报）,m,22556720,北京 朝阳区,957,257,财经网微社区,18,452,1
为了你的健康请抽出两分钟来看视频：正确的上网姿势。 http://t.cn/hrffKL,m,809335,北京 海淀区,593,92,微博 weibo.com,0,520,1
人生不如意的时候，是上帝给的长假，这个时候就应该好好享受假期。当突然有一天假期结束，时来运转，人生才真正开始了。晚安！周末愉快！,m,9490115,江苏 南京,1434,49,微博 weibo.com,19,422,1
#晚安#嫂子这话说得真是太心酸了。明年当你合同到期时候，不知道球队，至少所有的湖蜜会用比挽留霍华德更多的爱和情感，来挽留你。现在就让美女们安慰你吧，我大家嫂！[害羞],f,685032,海外,40,170,专业版微博,43,272,1
【韩媒称《江南style》有科学成分 治疗精神患者】此歌近来成为全球追捧的热门歌曲.韩媒称，这首歌不仅凭借欢乐元素风靡全球，其内在更有“科学”成分:"它通过简单的重复节奏刺激身体反应和自律神经系统.用它对精神科患者进行音乐治疗后，他们轻松自在、开心大笑并晃动身体”...." http://t.cn/zlcbU7T,m,360416,上海,2915,34,微博 weibo.com,2,213,1
今天起我自己成立了一个还不成型的关于贫困偏远山区儿童的基金、每个买思思家宝贝的亲每件商品均有五元钱是用于捐助贫困儿童、今年12月我将到云南西双版纳捐助那些山区的贫困孩子、这些钱只会多不会少、每个买东西的亲我都会记下你们的名字带着你们的爱心温暖他们的心  [爱心传递][爱心传递][爱心传递],f,1699,北京 海淀区,1709,91,三星Galaxy Note II,0,110,1
问：老赵，你都要死了，还学什么电脑？答：可是，我现在还活着啊！赵慕鹤40岁当学校工友。75岁当背包客，畅游英、德、法国。93岁到医院做2年志工。95岁考上研究所，98岁拿到硕士毕业，名列吉尼斯纪录。100岁他的书法被大英图书馆收藏。101岁在香港办书法展，并且成为畅销书作者！活着必须创造奇迹！,f,13416,山东 青岛,1265,140,微博 weibo.com,2,995,1
【单反相机手动拍摄技巧】用专业的摄影技术将最美好的瞬间记录下来~ 速度mark ~~~ [耶]掌握摄影技巧， 做摄影达人就关注@照片这样拍,f,727626,北京,389,61,微博 weibo.com,3,586,1
想进大学？请注意微博言行。Kaplan的一项调查表明：1、80%的美国顶级大学在录取新生时，会参考其社交言论表现；2、其中Facebook占82%、Twitter和Youtube各占56%；3、同时，80%的大学录用官亦在社交媒体上收到新生加好友请求。,m,21039,北京 朝阳区,946,107,iPhone客户端,0,597,1
